Date,FII_FUT,FII_OPT
01-10-2010,580.55,-481.73
04-10-2010,173.43,-637.77
05-10-2010,-892.45,-470.46
06-10-2010,-725.01,-1176.46
07-10-2010,285.96,-1117.39
08-10-2010,-63.61,-804.21
11-10-2010,-321.21,-1036.16
12-10-2010,212.17,-597.13
13-10-2010,-350.8,-896.79
14-10-2010,-202.18,-1004.44
15-10-2010,-65.24,-606.48
18-10-2010,-526.11,-663.38
19-10-2010,-174.13,-870.05
20-10-2010,480.68,-149.37
21-10-2010,-372.25,-261.43
22-10-2010,1114.63,-166.09
25-10-2010,149.68,-392.14
26-10-2010,650.74,-88.35
27-10-2010,-134.77,-852.89
28-10-2010,-372.11,-471.69
29-10-2010,-70.72,-145.62
01-11-2010,-1317.61,-255.93
02-11-2010,1516.15,-74.44
03-11-2010,-110.23,-773.57
04-11-2010,214.72,-244.27
08-11-2010,60.68,27.01
09-11-2010,-96.96,-151.63
10-11-2010,-885.57,260.33
11-11-2010,-816.51,-403.84
12-11-2010,-407.73,-305.14
15-11-2010,-1543.6,-466.2
16-11-2010,-682.11,150.41
18-11-2010,300.95,386.06
19-11-2010,-939.62,362.62
22-11-2010,3.55,258.02
23-11-2010,445.99,787.31
24-11-2010,-1591.97,547.78
26-11-2010,-679.01,535.24
29-11-2010,167.84,358.66
30-11-2010,697.57,526.08
01-12-2010,529.72,575.16
02-12-2010,937.07,753.24
03-12-2010,606.11,693.54
06-12-2010,333.19,481.82
07-12-2010,-594.12,232.73
08-12-2010,-791.14,-76.67
09-12-2010,-1276.38,-194.08
10-12-2010,450.26,3.85
13-12-2010,812.33,-90.56
14-12-2010,402.78,47.59
15-12-2010,744.9,-255.61
16-12-2010,-607.97,366.09
20-12-2010,-345.25,251
21-12-2010,142.29,307.66
22-12-2010,701.78,348.7
23-12-2010,130.35,-77.33
27-12-2010,586.8,-372.82
28-12-2010,357.32,-465.4
29-12-2010,-218.43,-374.66
30-12-2010,1493.56,-434.65
31-12-2010,506.56,246.93
03-01-2011,-73.74,-26.73
04-01-2011,-81.81,-295.92
05-01-2011,108.74,-486.8
06-01-2011,-1641.8,-494.69
07-01-2011,130.62,-433.83
10-01-2011,-1229.64,-627.81
11-01-2011,-525.33,462.46
12-01-2011,475.22,471.11
13-01-2011,-217.16,715.61
14-01-2011,-35.42,437.92
18-01-2011,606.13,339.97
19-01-2011,89.46,405.2
20-01-2011,195.52,409.14
21-01-2011,-813.89,333.71
24-01-2011,-922.59,226.78
25-01-2011,-260.99,548.78
27-01-2011,85.04,623.67
28-01-2011,-1171.8,-40.07
31-01-2011,-320.59,-412.41
01-02-2011,-479.66,-279.4
02-02-2011,729.73,3.12
03-02-2011,963.24,574.78
04-02-2011,-421.43,114.6
07-02-2011,-406.88,309.17
08-02-2011,132.33,314.76
09-02-2011,-484.98,208.07
10-02-2011,843.1,305.74
11-02-2011,-779.74,-104.89
14-02-2011,1230.46,81.36
15-02-2011,865.76,1057.04
16-02-2011,-844.56,416.59
18-02-2011,571.45,342.14
22-02-2011,-467.61,123.02
23-02-2011,0,0
24-02-2011,-382.26,-176.3
25-02-2011,0,0
28-02-2011,0,0
01-03-2011,1104.53,472.04
03-03-2011,1606.42,391.15
04-03-2011,200.18,-531.29
07-03-2011,-33.75,376.77
08-03-2011,-1922.97,-343.27
09-03-2011,418.18,-61.24
10-03-2011,93.51,31.96
11-03-2011,-547.21,-128.76
14-03-2011,-101.71,-318.19
15-03-2011,1261.89,-69.3
16-03-2011,-1614.33,-116.17
17-03-2011,706.95,288.26
18-03-2011,-565.7,-175.61
21-03-2011,-510.02,-272.61
22-03-2011,-97.23,-25.91
23-03-2011,1664.48,127.46
24-03-2011,358.5,-118.7
25-03-2011,685.94,-96.69
28-03-2011,3102.03,-229.08
29-03-2011,847.98,-80.53
30-03-2011,98.44,-107.86
31-03-2011,768.79,-292.45
01-04-2011,1337.64,-463.46
04-04-2011,-123.15,-647.51
05-04-2011,1392.87,-510.69
06-04-2011,-613.1,-575.39
07-04-2011,-117.32,-305.01
08-04-2011,-269.09,-358.98
11-04-2011,-788.38,-560.53
13-04-2011,-1950.96,-436.08
15-04-2011,-77.28,-1055.89
18-04-2011,-970.1,-574.42
19-04-2011,-55.74,-182.81
20-04-2011,-556.5,-212.1
21-04-2011,858.38,-121.46
25-04-2011,204.36,84.04
26-04-2011,32.7,-308.25
27-04-2011,-264.22,-543.44
28-04-2011,-384.85,-407.25
29-04-2011,191.45,-58.57
02-05-2011,-1240.94,-352.91
03-05-2011,-918.38,-252.08
04-05-2011,-1637.63,-593.84
05-05-2011,-611.47,-171.85
06-05-2011,-1346.81,277.65
09-05-2011,895.76,774.27
10-05-2011,539.33,252.75
11-05-2011,665.81,153.25
12-05-2011,21.75,255.59
13-05-2011,-1407.37,-31.77
16-05-2011,187.67,464.93
18-05-2011,-421.92,522.05
19-05-2011,111.49,44.95
20-05-2011,331.58,109.95
23-05-2011,66.48,451.93
24-05-2011,-816.46,-119.25
25-05-2011,85.1,81.56
26-05-2011,-780.57,79.66
27-05-2011,456.72,230.27
31-05-2011,-224.95,-9.17
01-06-2011,1121.69,398.04
02-06-2011,1290.68,-126.74
03-06-2011,135.55,-327.94
06-06-2011,33.42,-491.47
07-06-2011,-197.5,-253.28
08-06-2011,120.85,-177.89
09-06-2011,-268.19,-270.26
10-06-2011,-391.26,-145.51
13-06-2011,0,0
14-06-2011,333.47,-167.23
15-06-2011,-457.81,-512.84
16-06-2011,-732.24,-340.28
17-06-2011,-299.36,-138.33
20-06-2011,789.59,139.13
21-06-2011,492.07,236.85
22-06-2011,435.55,118.31
23-06-2011,161.64,-79.29
24-06-2011,2787.01,482.17
27-06-2011,-182.77,-304.23
28-06-2011,452.26,-488.31
29-06-2011,728.28,-52.28
30-06-2011,1091.19,-27.25
01-07-2011,-133.77,-157.53
05-07-2011,-158.1,-634.97
06-07-2011,10.33,-278.1
07-07-2011,601.05,-16.66
08-07-2011,-562.13,-698.75
11-07-2011,-678.48,-254.87
12-07-2011,-645.04,-376.96
13-07-2011,357.18,17.79
14-07-2011,-105.76,169.22
15-07-2011,-187.74,-206.51
18-07-2011,151.03,-144.16
19-07-2011,-874.41,-19
20-07-2011,56.43,-392.71
21-07-2011,-150.58,-107.2
22-07-2011,641.41,96.98
25-07-2011,79.15,-290.75
26-07-2011,-311.63,-896.59
27-07-2011,-665.48,-700.22
28-07-2011,-481.22,-326.21
29-07-2011,-904.28,33.64
01-08-2011,56.59,-70.96
02-08-2011,-630.81,-407.9
03-08-2011,-1354.39,-182.67
04-08-2011,-635.51,-157.94
05-08-2011,81.25,316.3
08-08-2011,126.99,531.65
09-08-2011,-168.53,718.87
10-08-2011,-29.5,-362.08
12-08-2011,-648.49,116.36
16-08-2011,799.31,514.16
17-08-2011,-139.78,190.36
18-08-2011,402.99,-383.21
22-08-2011,-632.26,257.95
23-08-2011,488.49,148.27
24-08-2011,338.61,166.95
25-08-2011,-179.66,381.77
26-08-2011,594.23,-126.3
29-08-2011,1079.13,361.22
30-08-2011,515.01,464.01
02-09-2011,539.17,413.98
06-09-2011,-1078.18,507.25
07-09-2011,282.3,458.61
08-09-2011,-23.09,603.5
09-09-2011,-715.89,146.42
12-09-2011,-1075.25,-83.85
13-09-2011,132.61,289.3
14-09-2011,-614.51,433.85
15-09-2011,254.5,401.08
16-09-2011,88.37,265.96
19-09-2011,-34.37,-254.07
20-09-2011,99.61,-321.37
21-09-2011,-88.97,-292.33
22-09-2011,-1813.16,-395.82
