Date,INDEX_FUT_BUY,INDEX_FUT_SELL,INDEX_FUT_NET,STK_FUT_BUY,STK_FUT_SELL,STK_FUT_NET,INDEX_OPT_BUY,INDEX_OPT_SELL,INDEX_OPT_NET,STK_OPT_BUY,STK_OPT_SELL,STK_OPT_NET,OPEN_INT,OPEN_INT_AMT
20/04/2021,5701.92,6012.41,-310.49,364818.64,365344.13,-525.49,12428.72,12083.16,345.56,19492.53,19420.05,72.48,1116590,93890.46
19/04/2021,4857.22,4802.52,54.7,245564.54,242436.64,3127.9,12341.74,11292.62,1049.12,14475.95,14679.87,-203.92,1110258,95494.01
16/04/2021,7806.36,6497.72,1308.64,1229428.03,1222329.41,7098.62,12990.57,13795.88,-805.31,14417.88,14790.81,-372.93,1104145,93840.47
15/04/2021,7570.18,5575.09,1995.09,518775.17,520243.57,-1468.4,14457.55,13153.68,1303.87,17797.78,17680.14,117.64,1103474,93531.8
12/4/2021,3657.4,4296.88,-639.48,248099.35,246560.97,1538.38,11221.87,11888.11,-666.24,13595.11,13749.18,-154.07,1069861,93990.81
9/4/2021,4850.18,4588.04,262.14,978584.32,973450.25,5134.07,12113.05,12168.56,-55.51,10885.37,11006.65,-121.28,1070113,94193.84
8/4/2021,6148.46,5386.51,761.95,536185.43,536668.65,-483.22,12405.67,12106.5,299.17,9646.64,9700.59,-53.95,1072822,93677.69
7/4/2021,4807.69,4509.42,298.27,446017.06,443528.97,2488.09,11343.19,11194.04,149.15,9025.19,8995.41,29.78,1076812,92874.05
6/4/2021,5983.07,7785.83,-1802.76,365978.57,366257.31,-278.74,12895.21,15186.35,-2291.14,13035.81,13046.04,-10.23,1081986,92387.21
5/4/2021,5732.56,5287.49,445.07,671537.76,666975.05,4562.71,11689.76,11968.05,-278.29,8180.01,8229.74,-49.73,1072544,93219.75
30/03/2021,6398.84,4519.05,1879.79,272377.69,272936.75,-559.06,12195.5,11477.33,718.17,9798.68,10156.1,-357.42,1054276,89168.34
26/03/2021,12017.47,11057.13,960.34,1135301.68,1131361.04,3940.64,27190.76,25877.64,1313.12,10762.19,9640.67,1121.52,1041869,87120.59
25/03/2021,7926.47,9603.38,-1676.91,512596,509578.57,3017.43,26171.64,26898.25,-726.61,10337.12,10263.15,73.97,1101151,93356.74
24/03/2021,9831.77,9391.79,439.98,424889.91,424631.53,258.38,40115.06,40064.19,50.87,15100.97,15098.66,2.31,1122845,97041.04
23/03/2021,5867.3,5885.31,-18.01,344617.1,343256.13,1360.97,40007.48,39732.18,275.3,14133.65,13976.78,156.87,1140335,97675.44
22/03/2021,8952.43,7445.39,1507.04,411427.93,410391.25,1036.68,20450.35,18954.18,1496.17,22043.83,21941.5,102.33,1148593,97830.98
19/03/2021,6803.79,6442.46,361.33,1172827.21,1165669.68,7157.53,14731.07,13871.82,859.25,21253.78,21077.35,176.43,1144055,96258.18
18/03/2021,4868.2,4874.26,-6.06,547811.59,547159.34,652.25,11478.77,11532.11,-53.34,15453.94,15818.77,-364.83,1145306,97412.73
17/03/2021,4302,4026.84,275.16,473947.92,474653.46,-705.54,10788.46,10495.5,292.96,14001.58,14238.28,-236.7,1152333,99891.62
16/03/2021,5427.07,5924.2,-497.13,422032.67,419146.66,2886.01,11328.09,12129.06,-800.97,16546.51,16684.51,-138,1156849,100315.06
15/03/2021,5456.59,6042.61,-586.02,339088.3,337198.92,1889.38,11769.37,13126.12,-1356.75,15096.6,15207.4,-110.8,1164820,101394.35
12/3/2021,3490.76,3403.26,87.5,689855.38,684433.44,5421.94,10071.23,10236.83,-165.6,11413.57,11396.29,17.28,1174052,103393.52
