Date,Open,High,Low,Close,Volume,VIX,Exchange,Crude
2016-05-16,7831.2,7873.9,7772.15,7860.75,211548000,17.0325,66.844,47.72
2016-05-17,7896.85,7940.1,7879.7,7890.75,189140992,16.3725,66.825,48.31
2016-05-18,7846.75,7882.05,7810.75,7870.15,161168992,16.455,67.14,48.19
2016-05-19,7875.5,7876.2,7766.8,7783.4,175712000,17.0625,67.436,48.16
2016-05-20,7792.2,7812.4,7735.75,7749.7,161888992,16.425,67.408,47.75
2016-05-23,7813.95,7820.6,7722.2,7731.05,177348000,16.16,67.409,48.08
2016-05-24,7738.05,7761.55,7715.8,7748.85,151538000,16.22,67.63,48.62
2016-05-25,7811.8,7941.2,7809.3,7934.9,181636992,15.52,67.273,49.56
2016-05-26,7974.45,8083.0,7948.5,8069.65,272456000,15.325,66.927,49.48
2016-05-27,8081.95,8164.2,8077.05,8156.65,268964000,15.26,67.031,49.33
2016-05-30,8166.5,8200.0,8150.8,8178.5,255086000,15.975,67.171,49.51
2016-05-31,8209.85,8213.6,8134.3,8160.1,485646016,16.045,67.209,49.1
2016-06-01,8179.2,8215.35,8171.05,8179.95,200372000,15.835,67.434,49.01
2016-06-02,8156.9,8229.5,8154.75,8218.95,187316000,15.0875,67.268,49.17
2016-06-03,8246.2,8262.0,8209.85,8220.8,390652000,14.995,67.0,48.62
2016-06-06,8228.75,8234.7,8186.05,8201.05,176884992,15.355,66.79,49.69
2016-06-07,8235.55,8294.95,8216.4,8266.45,249366000,14.87,66.658,50.36
2016-06-08,8285.5,8288.9,8252.05,8273.05,179710000,15.1425,66.5,51.23
2016-06-09,8273.35,8273.35,8184.6,8203.6,180292992,15.6725,66.753,50.56
2016-06-10,8180.25,8265.6,8162.85,8170.05,187756992,15.97,66.952,49.07
2016-06-13,8102.25,8125.25,8063.9,8110.6,174916000,16.5825,67.187,48.88
2016-06-14,8134.4,8134.95,8069.5,8108.85,150042000,17.19,67.292,48.49
2016-06-15,8139.4,8213.2,8123.15,8206.6,174954000,17.055,67.079,48.01
2016-06-16,8180.65,8180.65,8074.45,8140.75,195028992,17.6975,67.315,46.21
2016-06-17,8176.65,8195.25,8135.8,8170.2,171843008,17.35,67.074,47.98
2016-06-20,8115.75,8244.15,8107.35,8238.5,173751008,17.5175,67.551,49.37
2016-06-21,8255.4,8257.25,8202.15,8219.9,141162000,17.26,67.624,48.85
2016-06-22,8213.65,8238.35,8153.25,8203.7,140268000,18.185,67.449,49.13
2016-06-23,8201.15,8285.6,8188.3,8270.45,158852992,18.02,67.279,50.11
2016-06-24,8029.1,8100.7,7927.05,8088.6,306804000,18.6275,67.885,47.64
2016-06-27,8039.35,8120.65,8039.35,8094.7,167463008,18.53,67.914,46.33
