Date,NIFTY,VIX,DOW,SGXNIFTY,EXCHANGE,FII_FUT,FII_OPT,CRUDE,Volume,200EMA,100EMA,50EMA,20EMA,5EMA,upperband,lowerband,macd,RSI
2016-02-01,7555.95,17.89,16449.18,7565.35,67.835,364.95,259.76,34.24,206.64,7975.566822684414,7845.284376099693,7687.644381733809,7540.169496182021,7497.440507506456,7870.132322673612,7220.4476773263805,-80.43600519091342,48.32101394527842
2016-02-02,7455.55,18.035,16153.54,7474.95,67.975,-50.99,-393.22,32.72,237.34,7970.392525941285,7837.566863701679,7678.54264127366,7532.110496545638,7483.477005004304,7790.109456860247,7251.390543139744,-77.58521147072133,42.480002451651735
2016-02-03,7361.8,18.5875,16336.66,7383.5,67.934,-352.34,-295.75,35.04,197.86,7964.336878916994,7828.145737687784,7666.1213612237125,7515.890449255578,7442.918003336203,7746.506418917589,7252.043581082403,-81.94615415181579,37.87597324368184
2016-02-04,7404.0,18.2075,16416.58,7422.65,67.544,890.11,30.06,34.46,229.56,7958.761387584486,7819.746812189016,7655.8420921561155,7505.234215993141,7429.945335557469,7692.850395608389,7267.634604391603,-81.06260606262458,40.976967175178665
2016-02-05,7489.1,18.115,16204.97,7519.2,67.81,23.63,-159.24,34.06,257.52,7954.08813994683,7813.199350561511,7649.3031865813655,7503.697623993795,7449.663557038312,7643.671298035841,7291.623701964152,-72.65797316012322,46.74950467171002
2016-02-08,7387.25,20.2575,16027.05,7393.45,68.034,-212.65,438.9,32.88,176.76,7948.447959449846,7804.764709956333,7639.0265910291555,7492.607374089624,7428.859038025542,7631.578100041534,7285.61189995846,-73.36992204665148,41.5161681731672
2016-02-09,7298.2,21.7275,16014.38,7325.05,67.901,607.72,-1294.16,30.32,218.73,7941.977830500096,7794.733725600762,7625.660842361345,7474.092386081088,7385.306025350361,7616.855108318602,7270.019891681392,-80.1952959942546,37.557443952218065
2016-02-10,7215.7,22.465,15914.74,7246.55,67.861,-417.58,-1268.73,30.84,254.48,7934.751185420493,7783.26771123243,7609.583946582469,7449.4835874066985,7328.770683566907,7616.646427413681,7235.413572586313,-91.2101012695075,34.29479117849461
2016-02-11,6976.35,25.965,15660.18,6993.45,68.471,415.41,-265.47,30.06,301.3,7925.214855217304,7767.289142693174,7584.751242794921,7404.423245748918,7211.297122377938,7668.601380999801,7130.063619000196,-117.8939504023183,26.97365090523185
2016-02-12,6980.95,24.6725,15973.84,6990.0,68.118,883.34,102.28,33.36,344.21,7915.8191850161365,7751.718070560636,7561.072762685317,7364.092460439497,7134.514748251959,7684.609281214113,7055.910718785885,-137.08962763854015,27.294887194900557
